id,start,end,nom,resp,dep,iddep
10968,2013-04-26,,"Forestal Catalana, SA","Josep Escorihuela Mestre","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
10994,2013-04-26,,"Centre de Vacunacions Internacionals Hospital Clínic","null","Departament de Salut",2803
10995,2013-04-26,,"Servei Territorial de Trànsit de Barcelona","null","Departament d'Interior",13760
10996,2013-04-26,,"Servei Territorial de Trànsit de Tarragona","Eusebi del Olmo Ferrús","Departament d'Interior",13760
10999,2013-04-26,,"Secció de Seguretat Viària de Tarragona","null","Departament d'Interior",13760
11000,2013-04-26,,"Secció d'Administració de Tarragona","Montserrat Aragonés Canela","Departament d'Interior",13760
11001,2013-04-26,2013-09-21,"Secció de Seguretat Viària de Barcelona","Ferran Gutiérrez i Parra","Departament d'Interior",13760
11002,2013-04-26,2013-09-21,"Secció d'Administració de Barcelona","Gerard Pararols Fortet","Departament d'Interior",13760
11008,2013-04-26,,"Assessoria Jurídica","Mercè Curull Martínez","Departament de la Presidència",6
11010,2013-04-26,,"Direcció General d'Afers Religiosos","Xavier Puigdollers i Noblom","Departament de Governació i Relacions Institucionals",655
11015,2013-04-26,,"Consell Acadèmic del Centre d'Estudis de Temes Contemporanis","null","Departament de la Presidència",6
11023,2013-04-26,,"Serveis Territorials de Governació i Relacions Institucionals a Barcelona","Anna Mochales i Collado","Departament de Governació i Relacions Institucionals",655
11024,2013-04-26,,"Serveis Territorials de Governació i Relacions Institucionals a Girona","Isabel Muradàs i Vàzquez","Departament de Governació i Relacions Institucionals",655
11025,2013-04-26,,"Serveis Territorials de Governació i Relacions Institucionals a Lleida","Jordi Curcó i Pueyo","Departament de Governació i Relacions Institucionals",655
11026,2013-04-26,,"Serveis Territorials de Governació i Relacions Institucionals a Tarragona","Dolors Murillo i Cabré","Departament de Governació i Relacions Institucionals",655
11028,2013-04-26,,"Servei de Prevenció de Riscos Laborals","Núria Casanellas Blasco","Departament d'Ensenyament",1599
11030,2013-04-26,,"Secció de Prevenció de Riscos Laborals","Alejandro Egea Latorre","Departament d'Ensenyament",1599
11031,2013-04-26,,"Secció de Prevenció de Riscos Laborals","Juana González Porcel","Departament d'Ensenyament",1599
11032,2013-04-26,,"Secció de Prevenció de Riscos Laborals","Mònica Ros Vilanova","Departament d'Ensenyament",1599
11033,2013-04-26,,"Secció de Prevenció de Riscos Laborals","Jordi Collell Güell","Departament d'Ensenyament",1599
11034,2013-04-26,,"Secció de Prevenció de Riscos Laborals","Carme Riu Riu","Departament d'Ensenyament",1599
11035,2013-04-26,,"Secció de Prevenció de Riscos Laborals","Néstor Porqueras Bargalló","Departament d'Ensenyament",1599
11036,2013-04-26,,"Consell Editorial de la Generalitat","null","Departament de la Presidència",6
11040,2013-04-26,,"Assessoria Jurídica","null","Departament de la Presidència",6
11041,2013-04-26,,"Assessoria Jurídica","null","Departament de la Presidència",6
11042,2013-04-26,,"Assessoria Jurídica","null","Departament de la Presidència",6
11065,2013-04-26,,"Coordinació Territorial de Joventut a Barcelona","Oriol Martín Berbois","Departament de Benestar Social i Família",5823
11066,2013-04-26,,"Coordinació Territorial de Joventut a Girona","Anna Prior i Tió ","Departament de Benestar Social i Família",5823
11067,2013-04-26,,"Coordinació Territorial de Joventut a Lleida","Anna Feliu i Moragues ","Departament de Benestar Social i Família",5823
11068,2013-04-26,,"Coordinació Territorial de Joventut a Tarragona","Joan Plana i Pons","Departament de Benestar Social i Família",5823
11069,2013-04-26,,"Consell Assessor Sobre Malalties Neuromusculars","Salvador Doy i Pica","Departament de Salut",2803
11082,2013-04-26,,"Servei de Prevenció de Riscos Laborals","Albert Xavier Imaz i García","Departament de Benestar Social i Família",5823
